name,supermarket,priceFrom,priceTo,description,discountTag,image,validUntil
AH Mini appelflap en appeltaart,ah,3.49,1.74,Pak 360 gram,50% KORTING,,12-07
Spring Home roti en loempiavellen,ah,1.55,1.24,Bijv. Roti paratha plain - Pak 325 gram,20% KORTING,,12-07
Alle A-merk persoonlijke verzorging en vitamines*,ah,3.98,1.99,Bijv. Gillette scheerschuim - 2 bussen à 200 ml,1 + 1 GRATIS,,12-07
"AH Luiers,doekjes en verzorging",ah,0.99,0.59,Bijv. Kids toetenvegers - Pak 40 stuks,40% KORTING,,12-07
Nestlé Toetjes en pappen,ah,2.15,3.23,Bijv. Pyjamapapje biscuit - 2 x 3 x 250 ml,2e HALVE PRIJS,,12-07
Gratis bezorging bij een Nivea giftset,ah,,,hele week,Gratis bezorging,,12-07
Witte Reus toiletblokken en - reinigers,ah,10.76,5.38,Bijv. blauw actief - 4 pakken,2 + 2 GRATIS,,12-07
"Whiskas snacks en droogvoer, Pedigree snacks en IAMS Naturally",ah,6.98,5.23,Bijv. Whiskas 1+ brokjes rund - 2 zakken,2e HALVE PRIJS,,12-07
Alle AH Huishoudsprays en -doekjes,ah,2.38,1.90,Bijv. Hygiënische doekjes voordeel - 2 x 80 stuks,2e HALVE PRIJS,,12-07
AH Extra zacht toiletpapier,ah,5.38,4.25,Bijv. Extra zacht 4 laags - 2 pakken à 6 rollen,2 VOOR 4.25,,12-07
Ariel 27-49 wasbeurten,ah,11.99,5.99,Bijv. 3-in-1 pods color &amp; style - Doos 27 pods,50% KORTING,,12-07
"Finish tabs, Vanish en Glassex",ah,5.18,2.59,Bijv. Vanish powergel - 2 flessen à 200 ml,1 + 1 GRATIS,,12-07
Nalys grootverpakkingen en Page,ah,6.99,4.89,Bijv. Nalys velours maxi - Pak 12 rollen,30% KORTING,,12-07
HG ontstoppers,ah,7.78,5.84,Bijv. Vloeibare ontstopper - 2 flacons à 1 liter,2e HALVE PRIJS,,12-07
Ambi Pur lucht- en textielverfrissers,ah,2.79,2.00,Bijv. textielverfrisser spray classic - Bus 300 ml,BONUS,,12-07
Dreft vaatwas grootverpakkingen,ah,29.98,14.99,Bijv. Platinum vaatwastabl. cool blue - 2 x 40 st,1 + 1 GRATIS,,12-07
"Gratis bezorging bij 15 euro Ariel, Dreft, Lenor en Swiffer",ah,,,hele week,Gratis bezorging bij 15 euro,,12-07
Gratis bezorging bij 10 euro aan Edet,ah,,,hele week,Gratis bezorging,,12-07
Hallmark kerstkaarten 10-packs,ah,13.50,9.00,3 pakken - OP=OP,2 + 1 GRATIS,,12-07
AH Kersthangers,ah,5.99,4.49,Bijv. hamster groot kerstcadeau - Per stuk,25% KORTING,,12-07
Duracell ultra of plus power 8-packs,ah,13.99,6.99,Bijv. plus power AA - Pak 8 stuks - OP=OP,50% KORTING,,12-07
Ten Cate dames of herenondergoed,ah,23.90,11.95,Bijv. damesslip - Set 2 stuks,50% KORTING,,12-07
"AH Versierde, besneeuwde of geglitterde kerstboom",ah,13.00,10.00,Per stuk,3 EURO KORTING,,12-07
Bolsius geurassortiment,ah,12.98,6.49,Bijv. geurverspreider frost garden 45 ml - 2 stuks,1 + 1 GRATIS,,12-07
AH Glitterboompje,ah,6.00,5.00,2 stuks,2 VOOR 5.00,,12-07
Sinterklaascadeaus,ah,10.39,8.31,Bijv. LOL surprise pets - Per stuk,20% KORTING,,12-07
AH Picea omorika in pot,ah,10.00,6.00,Per stuk,4 EURO KORTING,,12-07
Tijdschriften,ah,6.25,4.69,Bijv. Linda - Per stuk,25% KORTING,,12-07
Nomad skisokken,ah,19.99,9.99,Set 2 paar - OP=OP,50% KORTING,,12-07
AH Nordmann gezaagd,ah,16.95,9.95,Per stuk,of 9.95 + 700 Air Miles,,12-07
Ten Cate thermosokken,ah,11.99,5.99,Set 3 paar - OP=OP,50% KORTING,,12-07
AH Hyacinten in glazen schaal of vaas met ledverlichting,ah,8.00,6.00,Bijv. vaas met ledverlichting - Per stuk,2 EURO KORTING,,12-07
AH Witte hyacintenbollen in kerstschaal,ah,18.00,15.00,Per stuk,3 EURO KORTING,,12-07
AH Nordmann potgeteeld*,ah,28.95,21.95,Per stuk,of 21.95 + 700 Air Miles,,12-07
Ten Cate thermotop,ah,29.99,14.99,Per stuk - OP=OP,50% KORTING,,12-07
AH Mini- of besneeuwde kinderkerstboom,ah,7.00,5.00,Per stuk,BONUS,,12-07
Ten Cate thermobroek,ah,25.99,12.99,Per stuk - OP=OP,50% KORTING,,12-07
Nomad handschoenen,ah,19.99,9.99,Per paar - OP=OP,50% KORTING,,12-07
Philips broodrooster HD2515/00 of waterkoker HD9305/00,ah,34.99,24.99,Per stuk,BONUS,,12-07
Hoomark Glitter lint,ah,1.69,1.29,Per stuk,BONUS,,12-07
Tristar RA 2998 Gourmetplaat,ah,29.99,12.99,Per stuk,BONUS,,12-07
Gratis bezorging bij 10 euro aan Duracell,ah,,,Bijv. Plus power AA alkaline batterijen,Gratis bezorging bij 10 euro,,12-07
Sinterklaas schoencadeau,ah,5.99,4.99,Bijv. 112 Brandweer auto - Per stuk,BONUS,,12-07
AH Wijnboxen,ah,42.14,30.00,"Bijv. De perfecte trio wijnbox - Doos 6 x 0,75 l",BONUS,,12-07
AH Bamikroketten,ah,1.35,0.67,Pak 4 stuks - OP=OP,50% korting,,12-07
Black Friday OP=OP,ah,49.99,29.99,Bijv. Draadloze koptelefoon T450BT,BONUS,,12-07
Op=Op Sinterklaas,ah,0.49,0.25,Bijv. Kruidnoten - Zak 200 gram,50% OP=OP KORTING,,12-07
AH Allerhande Kerstwijnbox,ah,38.96,30.00,,BONUS,,12-07
AH Gourmetwijnbox,ah,32.94,20.00,,BONUS,,12-07
Allerhande Dinerwijnbox,ah,30.96,22.50,,BONUS,,12-07
OP=OP,ah,3.35,2.18,Bijv. Pizza tradizionale mista di mare - Per stuk,BONUS,,12-07
OP = OP Zwitsal maandboxen,ah,62.97,31.49,Bijv. Luiers maxi maat 4 - Maandbox 3x62 stuks,50% OP=OP KORTING,,12-07
Pommery,ah,32.99,25.99,"Bijv. Pommery Brut Royal - Fles 0,75 l",ACTIE,,12-07
Freixenet,ah,9.99,7.99,"Bijv. Freixenet Negro Brut - Fles 0,75 l",ACTIE,,12-07
Overige champagne,ah,35.99,29.99,"Bijv. Piper Heidsieck Brut - Fles 0,75 l",ACTIE,,12-07
Overige mousserend,ah,9.99,7.49,"Bijv. Prosecco Colle del Principe - Fles 0,75 l",ACTIE,,12-07
Arrogant Frog,ah,7.49,5.49,"Bijv. Arrogant Frog Cabernet Sauvignon - 0,75 l",ACTIE,,12-07
Ogio Pinot Grigio of Primitivo,ah,6.79,3.99,"Bijv. Ogio Pinot Grigio - Fles 0,75 l",ACTIE,,12-07
Lekker bij de borrel,ah,7.49,4.99,"Bijv. Oveja Negra Chardonnay - Fles  0,75 l",ACTIE,,12-07
Wijn geschenkverpakkingen,ah,11.99,9.99,"Bijv. Kanonkop Blend Geschenk - Fles 0,75 l",ACTIE,,12-07
Kerstborrel wijnen,ah,5.99,4.99,"Bijv. Baumgartner Grüner Veltliner - Fles 0,75 l",ACTIE,,12-07
Maatje meer,ah,24.99,14.99,"Bijv. Cap Royal Bordeaux 2015 Magnum - Fles 1,5 l",ACTIE,,12-07
Lekker bij biefstuk,ah,11.99,5.99,"Bijv. Cap Royal Bordeaux Supérieur - Fles 0,75 l",ACTIE,,12-07
Lekker bij gourmet,ah,11.59,5.99,"Bijv. Palo Alto Shiraz Malbec - Fles 0,75 l",ACTIE,,12-07
Overige wijnaanbiedingen,ah,7.49,4.99,"Bijv. La Palma Chardonnay - Fles 0,75 l",ACTIE,,12-07
Lekker bij kaasplateau,ah,11.69,8.99,"Bijv. Kopke Crown Royal Fine Ruby - Fles 0,75 l",ACTIE,,12-07
Overige port,ah,8.99,6.99,"Bijv. Barros Tawny Port - Fles 0,75 l",ACTIE,,12-07
Voordeelpakkers,ah,21.49,15.99,Bijv. Bacardi Carta Blanca - Fles 100 cl,ACTIE,,12-07
Famous whisky,ah,22.99,16.99,Bijv. The Famous Grouse - Fles 100 cl,ACTIE,,12-07
Overige whisky,ah,21.99,14.99,Bijv. William Lawson's - Fles 100 cl,ACTIE,,12-07
Cognac,ah,21.99,17.99,Bijv. Joseph Guy VS - Fles 70 cl,ACTIE,,12-07
Rum,ah,16.99,12.99,Bijv. Bacardi Oakheart - Fles 70 cl,ACTIE,,12-07
Wodka/Gin,ah,15.49,12.99,Bijv. Gordon's London Dry - Fles 70 cl,BONUS,,12-07
Likeuren,ah,22.49,14.99,Bijv. Baileys - Fles 100 cl,ACTIE,,12-07
Whisky van de maand,ah,29.99,19.99,Bijv. Dewar's Special Reserve - Fles 70 cl,10 EURO KORTING,,12-07
Jenever/Vieux/Bitters,ah,15.49,9.99,Bijv. Hooghoudt Dubbele Graanjenever - Fles 100 cl,ACTIE,,12-07
World of Beers,ah,11.99,9.99,"Bijv. World of Beers Kadoverpakking - Fles 1,8 l",ACTIE,,12-07
Lekker bij het aperitief,ah,13.99,9.79,"Bijv. Prosecco Ca'Marina - Fles 0,75 l",ACTIE,,12-07
Lekker bij gerookte zalm,ah,34.99,27.99,"Bijv. Brimoncourt Brut - Fles 0,75 l",7 EURO KORTING,,12-07
Klassieke wijnen,ah,12.99,10.99,"Bijv. La Chablisienne Chablis  - Fles 0,75 l",ACTIE,,12-07
Wijn van de maand,ah,14.99,7.50,Bijv. Catena Malbec Lunlunta - Fles 0.75 l,50% korting,,12-07
Dozen voordeel,ah,77.94,38.97,"Bijv. Clearwater Sauvignon Blanc - Doos 6 x 0,75 l",50% korting,,12-07
Lekker bij coquilles,ah,13.99,9.99,"Bijv. Bourgogne Chardonnay - Fles 0,75 l",ACTIE,,12-07
Lekker bij garnalen,ah,12.49,8.99,"Bijv. Constantia Sauvignon Blanc - Fles 0,75 l",ACTIE,,12-07
Lekker bij gourmet,ah,13.99,8.99,"Bijv. Cune Rioja Reserva - Fles 0,75 l",6 EURO KORTING,,12-07
Lekker bij rood vlees,ah,23.99,14.99,"Bijv. Barolo Serra dei Turchi - Fles 0,75 l",9 euro korting,,12-07
Lekker bij wild,ah,12.99,9.99,"Bijv. Zonin Ripasso Superiore - Fles 0,75 l",3 EURO KORTING,,12-07
Lekker bij fruit dessert,ah,8.99,5.99,"Bijv. Alasia Moscato DÁsti - Fles 0,75 l",ACTIE,,12-07
Lekker bij de kaasplank,ah,24.99,19.99,"Bijv. Graham's Aged Tawny 10 years - Fles 0,75 l",ACTIE,,12-07
Topwijnen,ah,21.99,13.99,"Bijv. Tokara Director's Reserve 2014 - Fles 0,75 l",ACTIE,,12-07
Valdivieso,ah,9.99,5.99,"Bijv. Valdivieso Chardonnay Reserva - Fles 0,75 l",ACTIE,,12-07
Overige wijnaanbiedingen kaart,ah,9.99,5.99,"Bijv. La Palma Merlot Reserva -Fles 0,75 l",ACTIE,,12-07
Cadeau uit Schotland,ah,41.99,33.99,Bijv. Highland Park Viking Honour - Fles 70 cl,8 EURO KORTING,,12-07
Single malt begon hier,ah,34.99,24.99,Bijv. The Glenlivet Founders Reserve - Fles 70 cl,10 EURO KORTING,,12-07
Amando en Blue Stratos Aftershave,ah,18.78,9.39,Bijv. Blue Stratos Aftershave - 2 flessen à 100 ml,1 + 1 GRATIS,,12-07
Diadermine Gezichtsverzorging,ah,11.70,5.85,Bijv. Reinigingsdoekjes - 2 pakken à 25 stuks,1 + 1 GRATIS,,12-07
Etos Gezichtsverzorging en reiniging,ah,3.38,2.54,Bijv. Reinigingsdoekjes - 2 pakken à 25 stuks,2e HALVE PRIJS,,12-07
Got2b en Poly Palette Haarverzorging,ah,15.38,7.69,Bijv. Palette Mokka bruin 850 - 2 stuks à 115 ml,1 + 1 GRATIS,,12-07
