name,supermarket,priceFrom,priceTo,description,discountTag,image,validUntil
TAPAS EN BUITENLANDSE KAAS,jumbo,,"Actieprijs: 3 voor 5,00",Diverse soorten,3 voor 5 euro,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2017/Tapas-buitenlandse-kaasjes.png,2018-12-11 00:00:00
KIES EN MIX&nbsp;GRILL,jumbo,,"Actie: 3 voor 6,00",Diverse soorten,"3 voor 6,00 euro",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-40/SA-Packshots-KM-vlees.png,2018-12-11 00:00:00
KIES EN MIX TOETJES,jumbo,,"Actie: 4 voor 2,00",Diverse soorten,4 voor 2 euro,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2017/Online-Only/Toetjes-packshot.png,2018-12-11 00:00:00
KIES &amp; MIX FOODMARKT SOEPEN,jumbo,,"Nu: 2 voor 4,00",Diverse soorten,"2 voor 4,00 euro",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-46/Foodmarkt-Soepen-1118.png,2018-12-11 00:00:00
KIES &amp; MIX FOODMARKT MAALTIJDEN,jumbo,,"Nu: 2 voor 7,50",Diverse soorten,"2 voor 7,50 euro",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-46/Foodmarkt-Maaltijden-1118.png,2018-12-11 00:00:00
KIES &amp; MIX OOSTERSE MAALTIJDEN,jumbo,,Nu: 2 voor 4 euro,Diverse soorten,"2 voor 4,00 euro",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-46/Oosterse-Maaltijden.png,2018-12-11 00:00:00
"OVENVERSE CROISSANTS, KAISER-, MULTIKORN- OF POMPOENBROODJES",jumbo,,"Actie: 4 voor 1,00",Per 4 stuks Alle combinaties mogelijk,"4 voor 1,00",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2017/JA-Packshots-Hathi/JA-Ovenvers.png,2018-12-11 00:00:00
SNACKBROODJES,jumbo,,"Actie: 2 voor 1,50",Diverse soorten,"2 voor 1,50 euro",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-11/Packshots-broodjes.png,2018-12-11 00:00:00
KIES EN MIX PIZZA,jumbo,,"Actie: 3 voor 5,00",Diverse soorten,"3 voor 5,00 euro",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/Seizoensaanbiedingen-voorjaar/Packshot-pizza.png,2018-12-11 00:00:00
KIES EN MIX GEBAK,jumbo,,"Actie: 2 voor 5,00",Diverse soorten,"2 voor 5,00",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/Seizoensaanbiedingen-voorjaar/Packshot-gebak.png,2018-12-11 00:00:00
KIES EN MIX ONGEZOUTEN NOTEN,jumbo,,"Actieprijs: 2 voor 5,00",Bakjes 115-250 gram M.u.v. pinda's,"2 voor 5,00",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/Seizoensaanbiedingen-zomer/Noten.png,2018-12-11 00:00:00
KIES EN MIX SALADEMIXEN,jumbo,,"Actie: 3 voor 2,00",Diverse soorten,3 voor 2 euro,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-38/Packshot-salademixen.png,2018-12-11 00:00:00
KIES EN MIX GROENTECONSERVEN,jumbo,,Actie: 3 + 1 gratis,Diverse soorten,3+1 gratis,https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/week-38/Packshot-erwten.png,2018-12-11 00:00:00
KIES &amp; MIX BLOEMEN,jumbo,,"Nu 2 voor 5,00",Diverse soorten,"2 voor 5,00",https://www.jumbo.com/INTERSHOP/static/WFS/Jumbo-Grocery-Site/-/Jumbo-Grocery/nl_NL/Images_Aanbiedingen/2018/Jaaraanbiedingen/KM-Bloemen.png,2018-12-11 00:00:00
